iter	Passed	Remaining
0	100	179936
1	192	173314
2	304	182664
3	396	178087
4	505	181538
5	607	181497
6	708	181358
7	796	178410
8	894	177945
9	993	177791
10	1100	178937
11	1207	179944
12	1331	183051
13	1434	183048
14	1560	185641
15	1662	185378
16	1765	185152
17	1865	184683
18	1971	184776
19	2085	185598
20	2200	186371
21	2300	185928
22	2404	185756
23	2501	185145
24	2608	185204
25	2705	184583
26	2804	184144
27	2903	183736
28	3001	183325
29	3097	182740
30	3197	182454
31	3294	181998
32	3426	183454
33	3533	183512
34	3636	183406
35	3734	182996
36	3837	182832
37	3932	182343
38	4037	182315
39	4144	182379
40	4243	182071
41	4342	181765
42	4461	182286
43	4559	181976
44	4661	181781
45	4756	181363
46	4857	181172
47	4949	180674
48	5056	180705
49	5159	180586
50	5258	180326
51	5358	180132
52	5456	179842
53	5544	179277
54	5656	179479
55	5761	179441
56	5865	179375
57	5964	179128
58	6061	178865
59	6160	178645
60	6261	178514
61	6363	178369
62	6468	178338
63	6599	179006
64	6711	179152
65	6805	178801
66	6906	178651
67	7007	178496
68	7110	178381
69	7213	178268
70	7320	178271
71	7422	178136
72	7549	178597
73	7678	179086
74	7785	179059
75	7890	178995
76	8000	179017
77	8098	178784
78	8198	178613
79	8325	178990
80	8440	179117
81	8540	178938
82	8642	178777
83	8747	178701
84	8868	178933
85	8971	178799
86	9072	178638
87	9174	178481
88	9276	178332
89	9366	177960
90	9471	177884
91	9574	177759
92	9681	177700
93	9776	177428
94	9890	177503
95	9990	177325
96	10095	177240
97	10192	177019
98	10309	177130
99	10410	176979
100	10522	177004
101	10614	176700
102	10713	176518
103	10815	176380
104	10912	176164
105	11027	176226
106	11141	176283
107	11237	176056
108	11338	175895
109	11431	175631
110	11529	175442
111	11620	175144
112	11698	174651
113	11800	174519
114	11912	174550
115	12022	174539
116	12137	174597
117	12233	174374
118	12335	174250
119	12437	174126
120	12536	173959
121	12632	173755
122	12735	173630
123	12828	173393
124	12923	173172
125	13031	173132
126	13160	173370
127	13259	173200
128	13379	173306
129	13461	172934
130	13564	172813
131	13654	172539
132	13760	172476
133	13856	172273
134	13950	172061
135	14048	171881
136	14159	171877
137	14255	171682
138	14357	171566
139	14427	171072
140	14533	171005
141	14628	170808
142	14732	170715
143	14833	170584
144	14932	170436
145	15033	170313
146	15139	170240
147	15234	170044
148	15334	169919
149	15443	169881
150	15560	169929
151	15668	169880
152	15791	169994
153	15891	169852
154	15992	169731
155	16085	169511
156	16187	169403
157	16285	169246
158	16379	169051
159	16482	168943
160	16598	168978
161	16723	169095
162	16839	169113
163	16940	168993
164	17045	168910
165	17145	168770
166	17246	168644
167	17339	168436
168	17446	168374
169	17551	168289
170	17606	167722
171	17698	167517
172	17798	167384
173	17916	167431
174	18009	167231
175	18106	167074
176	18209	166967
