Fecha Transaccion,Lote Completo,Tipo de Granjero,Formula  ,Nombre Formula                   ,Neto Relativo,Costo      ,Base de precios unitarios,Transaccion,Nombre Tipo Alimento
2/1/2026         ,STO5006-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,11470.00     ,6836.12    ,0.59600000               ,Despacho   ,Engorde 0           
2/1/2026         ,STO5006-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,12110.00     ,7217.56    ,0.59600000               ,Despacho   ,Engorde 0           
2/1/2026         ,STO5006-2601 ,PCA             ,T110N1BA ,Engorde 0      Gra Re CQ 45Kg    ,5400.00      ,3218.40    ,0.59600000               ,Despacho   ,Engorde 0           
2/1/2026         ,BUC1010-2601A,Granja Propia   ,T113OAA0 ,Engorde 3 Peletizado Ensayo      ,18080.00     ,9942.20    ,0.54990044               ,Despacho   ,Engorde 3           
2/1/2026         ,BUC3048-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,16480.00     ,9492.48    ,0.57600000               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC3048-2601A,PCA             ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,20550.00     ,12884.85   ,0.62700000               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC3048-2601A,PCA             ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,15020.00     ,9417.54    ,0.62700000               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC3048-2601A,PCA             ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,21160.00     ,13267.32   ,0.62700000               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC1006-2601 ,Granja Propia   ,T110N1I0 ,Engorde 0      Gra Re CD         ,-17423.00    ,0.00       ,0.00000000               ,Credito    ,Engorde 0           
2/1/2026         ,BUC1006-2601 ,Granja Propia   ,T110N1I0 ,Engorde 0      Gra Re CD         ,18570.00     ,10001.80   ,0.53859990               ,Despacho   ,Engorde 0           
2/1/2026         ,BUC1006-2601A,Granja Propia   ,T110N1I0 ,Engorde 0      Gra Re CD         ,17423.00     ,0.00       ,0.00000000               ,Debito     ,Engorde 0           
2/1/2026         ,BUC3003-2506A,PCA             ,T114R1IW0,ENGORDE 4 PEL RE ESP BD GRANEL   ,-6451.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/1/2026         ,BUC3003-2506 ,PCA             ,T114R1IW0,ENGORDE 4 PEL RE ESP BD GRANEL   ,6451.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 4           
2/1/2026         ,BUC1010-2601 ,Granja Propia   ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,2285.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 2           
2/1/2026         ,STO5035-2506 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,10840.00     ,7544.64    ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1010-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,22460.00     ,11414.19   ,0.50820068               ,Despacho   ,Engorde 3           
2/1/2026         ,BUC1010-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,20750.00     ,10545.16   ,0.50820068               ,Despacho   ,Engorde 3           
2/1/2026         ,BUC1010-2601 ,Granja Propia   ,T113R1I0 ,Engorde 3          Pel Re CD     ,20510.00     ,10423.20   ,0.50820068               ,Despacho   ,Engorde 3           
2/1/2026         ,BUC1010-2601 ,Granja Propia   ,T113OAA0 ,Engorde 3 Peletizado Ensayo      ,3287.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 3           
2/1/2026         ,BUC1010-2601A,Granja Propia   ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,-2285.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 2           
2/1/2026         ,BUC1010-2601A,Granja Propia   ,T114OAA0 ,Engorde 4 Peletizado Ensayo      ,18140.00     ,9520.72    ,0.52484651               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1010-2601A,Granja Propia   ,T113OAA0 ,Engorde 3 Peletizado Ensayo      ,-3287.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 3           
2/1/2026         ,STO5042-2601 ,PCA             ,T113R1N0 ,Engorde 3          Pel Re CQ     ,14660.00     ,8737.36    ,0.59600000               ,Despacho   ,Engorde 3           
2/1/2026         ,STO5040-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,18280.00     ,12722.88   ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1012-2506 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,-16852.00    ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/1/2026         ,BUC1012-2506 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,16860.00     ,8205.76    ,0.48669991               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1012-2506 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,17830.00     ,8677.86    ,0.48669991               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1012-2506A,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,16852.00     ,0.00       ,0.00000000               ,Debito     ,Engorde 4           
2/1/2026         ,BUC1012-2506 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,22120.00     ,0.00       ,0.00000000               ,Debito     ,Engorde 4           
2/1/2026         ,STO5040-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,18050.00     ,12562.80   ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1007-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21240.00     ,11012.94   ,0.51849983               ,Despacho   ,Engorde 2           
2/1/2026         ,STO5040-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15160.00     ,10551.36   ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1007-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,23040.00     ,11946.24   ,0.51849983               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC1007-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,22000.00     ,11407.00   ,0.51849983               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC3020-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,20160.00     ,13608.00   ,0.67500000               ,Despacho   ,Engorde 1           
2/1/2026         ,STO2003-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,20160.00     ,10520.17   ,0.52183380               ,Despacho   ,Engorde 1           
2/1/2026         ,STO5020-2506 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,12880.00     ,8694.00    ,0.67500000               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC3040-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,-1924.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 1           
2/1/2026         ,BUC3040-2601A,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,1924.00      ,0.00       ,0.00000000               ,Debito     ,Engorde 1           
2/1/2026         ,BUC3040-2601A,PCA             ,T112R1IW0,ENGORDE 2 PEL RE ESP BD GRANEL   ,14500.00     ,8642.00    ,0.59600000               ,Despacho   ,Engorde 2           
2/1/2026         ,STO2005-2601 ,Granja Propia   ,T112R1N0 ,Engorde 2 peletizado             ,14160.00     ,7079.61    ,0.49997268               ,Despacho   ,Engorde 2           
2/1/2026         ,STO2005-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,22210.00     ,11463.50   ,0.51614156               ,Despacho   ,Engorde 2           
2/1/2026         ,STO2005-2601 ,Granja Propia   ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,14100.00     ,7267.32    ,0.51541241               ,Despacho   ,Engorde 4           
2/1/2026         ,STO2005-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,20300.00     ,10477.67   ,0.51614156               ,Despacho   ,Engorde 2           
2/1/2026         ,BUC1005-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,21690.00     ,10708.46   ,0.49370491               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1005-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,-22120.00    ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/1/2026         ,BUC1005-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,21130.00     ,10431.98   ,0.49370491               ,Despacho   ,Engorde 4           
2/1/2026         ,BUC1005-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,22120.00     ,10920.75   ,0.49370491               ,Despacho   ,Engorde 4           
2/1/2026         ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15020.00     ,10453.92   ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15010.00     ,10446.96   ,0.69600000               ,Despacho   ,Engorde 4           
2/1/2026         ,STO5064-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,15010.00     ,8945.96    ,0.59600000               ,Despacho   ,Engorde 0           
2/1/2026         ,BUC3051-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,15100.00     ,8697.60    ,0.57600000               ,Despacho   ,Engorde 3           
2/1/2026         ,BUC3051-2601 ,PCA             ,T114R1I0 ,Engorde 4          Pel Re CD     ,21580.00     ,12430.08   ,0.57600000               ,Despacho   ,Engorde 4           
2/1/2026         ,STO5028-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,13660.00     ,8141.36    ,0.59600000               ,Despacho   ,Engorde 1           
2/1/2026         ,STO5028-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,3004.00      ,1790.38    ,0.59600000               ,Despacho   ,Engorde 1           
2/1/2026         ,STO5028-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,12016.00     ,7161.54    ,0.59600000               ,Despacho   ,Engorde 1           
2/1/2026         ,STO5046-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,20440.00     ,13797.00   ,0.67500000               ,Despacho   ,Engorde 4           
