Cierre de campaña,Fecha recepción,Lote Complejo   ,Cod Granja,Lote ,Galpón,Raza  ,Estatus  ,Alojamiento Total,Aves Planta,Edad (venta),Limp & Prep,Aves Neto,Kilos Planta,Kilos Neto,Cons Alim Total,Area de Crianza 1,Conv. Real,Ganancia día,Aves/m2,Kg/m2
3/11/2026        ,2/2/2026       ,BUC3036-2601-03 ,BUC3036   ,2601 ,03    ,C500SF,Cerrado  ,35000            ,34281      ,37.00       ,18.0       ,34060    ,97379.33    ,96443.13  ,151730         ,0.00             ,1.57      ,76.53       ,0.00   ,0.00 
3/13/2026        ,2/2/2026       ,BUC3052-2601A-01,BUC3052   ,2601A,01    ,C500SF,Cerrado  ,32500            ,31660      ,39.00       ,19.0       ,31621    ,96560.00    ,95427.19  ,152305         ,0.00             ,1.60      ,77.38       ,0.00   ,0.00 
3/10/2026        ,2/2/2026       ,STO5006-2601-03 ,STO5006   ,2601 ,03    ,C500SF,Cerrado  ,35150            ,33498      ,35.00       ,21.0       ,32720    ,90013.60    ,87730.24  ,131366         ,0.00             ,1.50      ,76.61       ,0.00   ,0.00 
3/10/2026        ,2/2/2026       ,STO5006-2601-01 ,STO5006   ,2601 ,01    ,C500SF,Cerrado  ,34100            ,32496      ,35.00       ,25.0       ,32330    ,82529.32    ,81596.32  ,124525         ,0.00             ,1.53      ,72.11       ,0.00   ,0.00 
3/12/2026        ,2/2/2026       ,STO5044-2601-05 ,STO5044   ,2601 ,05    ,C500SF,Cerrado  ,22000            ,21345      ,37.00       ,25.0       ,21328    ,60284.83    ,59881.13  ,88800          ,0.00             ,1.48      ,75.88       ,0.00   ,0.00 
3/13/2026        ,2/2/2026       ,BUC3036-2601-02 ,BUC3036   ,2601 ,02    ,C500SF,Cerrado  ,39000            ,37601      ,38.00       ,17.0       ,37554    ,112660.00   ,110728.78 ,174612         ,0.00             ,1.58      ,77.59       ,0.00   ,0.00 
3/12/2026        ,2/3/2026       ,BUC1006-2601-11 ,BUC1006   ,2601 ,11    ,C500SF,Cerrado  ,23300            ,22438      ,37.00       ,16.0       ,22364    ,64562.96    ,64333.71  ,98171          ,0.00             ,1.53      ,77.75       ,0.00   ,0.00 
3/15/2026        ,2/3/2026       ,BUC1006-2601-02 ,BUC1006   ,2601 ,02    ,C500SF,Cerrado  ,35500            ,34821      ,40.00       ,21.0       ,34742    ,100331.73   ,100003.79 ,163964         ,0.00             ,1.64      ,71.96       ,0.00   ,0.00 
3/10/2026        ,2/3/2026       ,STO5006-2601-02 ,STO5006   ,2601 ,02    ,C500SF,Cerrado  ,38700            ,37709      ,35.00       ,21.0       ,37635    ,96053.35    ,95714.12  ,142772         ,0.00             ,1.49      ,72.66       ,0.00   ,0.00 
3/10/2026        ,2/3/2026       ,STO5006-2601-04 ,STO5006   ,2601 ,04    ,C500SF,Cerrado  ,33000            ,31272      ,32.00       ,26.0       ,31101    ,70743.73    ,70246.28  ,102802         ,0.00             ,1.46      ,70.58       ,0.00   ,0.00 
3/15/2026        ,2/3/2026       ,STO5064-2601-02 ,STO5064   ,2601 ,02    ,C500SF,Cerrado  ,34100            ,32708      ,35.00       ,25.0       ,32610    ,85677.78    ,84654.96  ,131210         ,0.00             ,1.55      ,74.17       ,0.00   ,0.00 
3/14/2026        ,2/3/2026       ,BUC1006-2601A-01,BUC1006   ,2601A,01    ,C500SF,Cerrado  ,34500            ,33228      ,38.00       ,20.0       ,33170    ,104900.00   ,104681.75 ,164460         ,0.00             ,1.57      ,83.05       ,0.00   ,0.00 
3/11/2026        ,2/3/2026       ,BUC3036-2601-04 ,BUC3036   ,2601 ,04    ,C500SF,Cerrado  ,35000            ,34119      ,36.00       ,19.0       ,34027    ,93060.68    ,92687.52  ,142478         ,0.00             ,1.54      ,75.67       ,0.00   ,0.00 
3/15/2026        ,2/4/2026       ,BUC1006-2601-04 ,BUC1006   ,2601 ,04    ,C500SF,Cerrado  ,35050            ,33936      ,37.00       ,20.0       ,33890    ,97593.30    ,97425.42  ,147183         ,0.00             ,1.51      ,77.70       ,0.00   ,0.00 
3/14/2026        ,2/4/2026       ,BUC1006-2601-03 ,BUC1006   ,2601 ,03    ,C500SF,Cerrado  ,35200            ,33831      ,37.00       ,17.0       ,33646    ,97306.49    ,96820.43  ,154522         ,0.00             ,1.60      ,77.77       ,0.00   ,0.00 
3/16/2026        ,2/4/2026       ,BUC1006-2601-06 ,BUC1006   ,2601 ,06    ,C500SF,Cerrado  ,35200            ,33726      ,40.00       ,19.0       ,33726    ,101211.70   ,101211.70 ,164933         ,0.00             ,1.63      ,75.02       ,0.00   ,0.00 
